the,der/die/das
be,sein
to,zu
of,von
and,und
a,ein/eine
in,in
that,dass/welches
have,haben
I,ich
it,es
for,für
not,nicht
on,auf
with,mit
he,er
as,als/wie
you,du/Sie
do,tun/machen
at,bei/an
this,dies/dieser
but,aber
his,sein
by,von/durch
from,von/aus
they,sie
we,wir
say,sagen
her,ihr/sie
she,sie
or,oder
an,ein
will,werden/wollen
my,mein
one,eins
all,alle
would,würde
there,dort/da
their,ihr
what,was
so,so
up,auf/hinauf
out,aus/hinaus
if,wenn/falls
about,über
who,wer
get,bekommen
which,welche
go,gehen
me,mich/mir
when,wenn/wann
make,machen
can,können
like,mögen/wie
time,Zeit
no,nein
just,nur/gerade
him,ihm/ihn
know,wissen/kennen
take,nehmen
people,Menschen/Leute
into,in/hinein
year,Jahr
your,dein/Ihr
good,gut
some,einige
could,könnte
them,sie/ihnen
see,sehen
other,andere
than,als
then,dann
now,jetzt
look,schauen
only,nur
come,kommen
its,sein/seine
over,über
think,denken
also,auch
back,zurück
after,nach
use,benutzen
two,zwei
how,wie
our,unser
work,arbeiten/Arbeit
first,erste
well,gut/wohl
way,Weg/Art
even,sogar
new,neu
want,wollen
because,weil
any,irgendein
these,diese
give,geben
day,Tag
most,meiste
us,uns
very,sehr
need,brauchen/benötigen
here,hier
much,viel
should,sollte
too,zu/auch
own,eigen
big,groß
really,wirklich
still,noch/still
such,solche
small,klein
find,finden
many,viele
more,mehr
where,wo
last,letzte
right,richtig/recht
before,vor
long,lang
those,jene
might,könnte/möchte
world,Welt
hand,Hand
part,Teil
through,durch
school,Schule
always,immer
great,großartig
place,Ort/Platz
off,aus
little,klein/wenig
same,gleich
down,runter
house,Haus
put,stellen/legen
leave,verlassen
life,Leben
each,jede
old,alt
help,Hilfe/helfen
different,verschieden
high,hoch
both,beide
between,zwischen
man,Mann
three,drei
lot,viel/Menge
course,Kurs/natürlich
call,rufen/anrufen
feel,fühlen
something,etwas
problem,Problem
head,Kopf
tell,erzählen
thing,Ding/Sache
try,versuchen
while,während
ask,fragen/bitten
next,nächste
never,nie
friend,Freund
end,Ende
idea,Idee
story,Geschichte
state,Staat/Zustand
word,Wort
talk,sprechen/reden
start,starten/beginnen
around,um/herum
run,laufen/rennen
move,bewegen
